Seed,True_Var_Def,False_Var_Def,VAF_Lower_Limit,VAF_Upper_Limit,Feature_Category,Num_True_Var_Testing,Num_False_Var_Testing,TP,FP,TN,FN,AUC,MCC,F1_score,Accuracy,MSE
10,[1],[0.33],0.01,0.6,Moderate,159,1055,123,230,825,36,0.7777877134936958,0.413,0.48,0.781,0.219
10,[1],"[0.33, 0.67]",0.01,0.6,Moderate,134,1243,104,253,990,30,0.7862897899881126,0.387,0.424,0.794,0.206
10,"[1, 0.67]",[0.33],0.01,0.6,Moderate,287,1090,187,310,780,100,0.6835821372630502,0.311,0.477,0.702,0.298
10,[1],[0.33],0.01,0.6,Strict,159,1055,126,240,815,33,0.7824823392649558,0.415,0.48,0.775,0.225
10,[1],"[0.33, 0.67]",0.01,0.6,Strict,134,1243,104,267,976,30,0.7806582533831247,0.375,0.412,0.784,0.216
10,"[1, 0.67]",[0.33],0.01,0.6,Strict,287,1090,189,316,774,98,0.6843141642425599,0.311,0.477,0.699,0.301
10,[1],[0.33],0.01,0.6,Exhaustive,159,1055,127,228,827,32,0.7913141971444753,0.432,0.494,0.786,0.214
10,[1],"[0.33, 0.67]",0.01,0.6,Exhaustive,134,1243,101,249,994,33,0.7767047705959342,0.377,0.417,0.795,0.205
10,"[1, 0.67]",[0.33],0.01,0.6,Exhaustive,287,1090,184,296,794,103,0.6847776747754372,0.315,0.48,0.71,0.29
10,[1],[0.33],0.01,0.5,Moderate,133,1078,103,232,846,30,0.7796113660775317,0.391,0.44,0.784,0.216
10,[1],"[0.33, 0.67]",0.01,0.5,Moderate,133,1240,104,275,965,29,0.7800903468348289,0.371,0.406,0.779,0.221
10,"[1, 0.67]",[0.33],0.01,0.5,Moderate,304,1069,208,323,746,96,0.6910294914085962,0.326,0.498,0.695,0.305
10,[1],[0.33],0.01,0.5,Strict,133,1078,104,241,837,29,0.7791963675422323,0.387,0.435,0.777,0.223
10,[1],"[0.33, 0.67]",0.01,0.5,Strict,133,1240,109,288,952,24,0.7936454038321611,0.383,0.411,0.773,0.227
10,"[1, 0.67]",[0.33],0.01,0.5,Strict,304,1069,211,327,742,93,0.6940927945448279,0.33,0.501,0.694,0.306
10,[1],[0.33],0.01,0.5,Exhaustive,133,1078,105,232,846,28,0.7871301630700127,0.401,0.447,0.785,0.215
10,[1],"[0.33, 0.67]",0.01,0.5,Exhaustive,133,1240,103,271,969,30,0.7779438515643949,0.369,0.406,0.781,0.219
10,"[1, 0.67]",[0.33],0.01,0.5,Exhaustive,304,1069,208,304,765,96,0.6999163015114962,0.343,0.51,0.709,0.291
10,[1],[0.33],0.02,0.6,Moderate,117,1066,89,243,823,28,0.7663643944131748,0.354,0.396,0.771,0.229
10,[1],"[0.33, 0.67]",0.02,0.6,Moderate,113,1230,85,322,908,28,0.7452118857471761,0.296,0.327,0.739,0.261
10,"[1, 0.67]",[0.33],0.02,0.6,Moderate,295,1048,176,332,716,119,0.6399081381808772,0.239,0.438,0.664,0.336
10,[1],[0.33],0.02,0.6,Strict,117,1066,88,240,826,29,0.7634980195955805,0.351,0.396,0.773,0.227
10,[1],"[0.33, 0.67]",0.02,0.6,Strict,113,1230,86,310,920,27,0.7545147132887258,0.31,0.338,0.749,0.251
10,"[1, 0.67]",[0.33],0.02,0.6,Strict,295,1048,178,335,713,117,0.6418666709794282,0.242,0.441,0.663,0.337
10,[1],[0.33],0.02,0.6,Exhaustive,117,1066,87,248,818,30,0.7554721701063165,0.339,0.385,0.765,0.235
10,[1],"[0.33, 0.67]",0.02,0.6,Exhaustive,113,1230,86,304,926,27,0.7569537376789696,0.314,0.342,0.754,0.246
10,"[1, 0.67]",[0.33],0.02,0.6,Exhaustive,295,1048,176,337,711,119,0.6375226419976711,0.234,0.436,0.66,0.34
10,[1],[0.33],0.02,0.5,Moderate,108,1071,85,245,826,23,0.7791394335511983,0.359,0.388,0.773,0.227
10,[1],"[0.33, 0.67]",0.02,0.5,Moderate,132,1206,99,312,894,33,0.7456467661691544,0.318,0.365,0.742,0.258
10,"[1, 0.67]",[0.33],0.02,0.5,Moderate,292,1046,196,352,694,96,0.6673564001152467,0.281,0.467,0.665,0.335
10,[1],[0.33],0.02,0.5,Strict,108,1071,85,255,816,23,0.7744708994708995,0.35,0.379,0.764,0.236
10,[1],"[0.33, 0.67]",0.02,0.5,Strict,132,1206,100,336,870,32,0.739484396200814,0.305,0.352,0.725,0.275
10,"[1, 0.67]",[0.33],0.02,0.5,Strict,292,1046,207,355,691,85,0.6847579821367767,0.309,0.485,0.671,0.329
10,[1],[0.33],0.02,0.5,Exhaustive,108,1071,86,247,824,22,0.7828353563647681,0.362,0.39,0.772,0.228
10,[1],"[0.33, 0.67]",0.02,0.5,Exhaustive,132,1206,98,326,880,34,0.7360545756068144,0.303,0.353,0.731,0.269
10,"[1, 0.67]",[0.33],0.02,0.5,Exhaustive,292,1046,193,348,698,99,0.664131459702978,0.276,0.463,0.666,0.334
10,[1],[0.33],0.05,0.6,Moderate,84,309,59,85,224,25,0.7136500231160426,0.364,0.518,0.72,0.28
10,[1],"[0.33, 0.67]",0.05,0.6,Moderate,80,377,49,114,263,31,0.6550563660477454,0.246,0.403,0.683,0.317
10,"[1, 0.67]",[0.33],0.05,0.6,Moderate,154,303,92,98,205,62,0.636985127084137,0.263,0.535,0.65,0.35
10,[1],[0.33],0.05,0.6,Strict,84,309,60,99,210,24,0.6969486823855755,0.329,0.494,0.687,0.313
10,[1],"[0.33, 0.67]",0.05,0.6,Strict,80,377,54,120,257,26,0.6783488063660478,0.279,0.425,0.681,0.319
10,"[1, 0.67]",[0.33],0.05,0.6,Strict,154,303,97,104,199,57,0.6433179032188934,0.273,0.546,0.648,0.352
10,[1],[0.33],0.05,0.6,Exhaustive,84,309,62,74,235,22,0.7493065187239945,0.43,0.564,0.756,0.244
10,[1],"[0.33, 0.67]",0.05,0.6,Exhaustive,80,377,48,117,260,32,0.6448275862068966,0.229,0.392,0.674,0.326
10,"[1, 0.67]",[0.33],0.05,0.6,Exhaustive,154,303,91,95,208,63,0.6386888688868886,0.267,0.535,0.654,0.346
10,[1],[0.33],0.05,0.5,Moderate,86,304,58,91,213,28,0.6875382496940023,0.32,0.494,0.695,0.305
10,[1],"[0.33, 0.67]",0.05,0.5,Moderate,77,376,50,89,287,27,0.7063242608455375,0.336,0.463,0.744,0.256
10,"[1, 0.67]",[0.33],0.05,0.5,Moderate,152,301,96,83,218,56,0.6779157195313866,0.344,0.58,0.693,0.307
10,[1],[0.33],0.05,0.5,Strict,86,304,57,89,215,29,0.6850137698898409,0.317,0.491,0.697,0.303
10,[1],"[0.33, 0.67]",0.05,0.5,Strict,77,376,52,113,263,25,0.6873963802155292,0.293,0.43,0.695,0.305
10,"[1, 0.67]",[0.33],0.05,0.5,Strict,152,301,94,106,195,58,0.6331307920965203,0.253,0.534,0.638,0.362
10,[1],[0.33],0.05,0.5,Exhaustive,86,304,59,95,209,27,0.6867732558139534,0.317,0.492,0.687,0.313
