Seed,True_Var_Def,False_Var_Def,VAF_Lower_Limit,VAF_Upper_Limit,Feature_Category,Num_True_Var_Testing,Num_False_Var_Testing,TP,FP,TN,FN,AUC,MCC,F1_score,Accuracy,MSE
10,[1],[0.33],0.01,0.6,Moderate,126,1086,96,206,880,30,0.7861089187056038,0.404,0.449,0.805,0.195
10,[1],"[0.33, 0.67]",0.01,0.6,Moderate,135,1240,103,251,989,32,0.7802718040621267,0.381,0.421,0.794,0.206
10,"[1, 0.67]",[0.33],0.01,0.6,Moderate,289,1086,189,304,782,100,0.6870264517896857,0.318,0.483,0.706,0.294
10,[1],[0.33],0.01,0.6,Strict,126,1086,95,209,877,31,0.7807594492677365,0.395,0.442,0.802,0.198
10,[1],"[0.33, 0.67]",0.01,0.6,Strict,135,1240,105,263,977,30,0.7828405017921146,0.38,0.417,0.787,0.213
10,"[1, 0.67]",[0.33],0.01,0.6,Strict,289,1086,190,307,779,99,0.6873753401263006,0.318,0.483,0.705,0.295
10,[1],[0.33],0.01,0.6,Exhaustive,126,1086,96,213,873,30,0.7828860826098395,0.396,0.441,0.8,0.2
10,[1],"[0.33, 0.67]",0.01,0.6,Exhaustive,135,1240,101,258,982,34,0.7700418160095579,0.366,0.409,0.788,0.212
10,"[1, 0.67]",[0.33],0.01,0.6,Exhaustive,289,1086,193,305,781,96,0.6934864618580614,0.328,0.49,0.708,0.292
10,[1],[0.33],0.01,0.5,Moderate,125,1084,106,231,853,19,0.8174501845018448,0.431,0.459,0.793,0.207
10,[1],"[0.33, 0.67]",0.01,0.5,Moderate,130,1241,101,268,973,29,0.7804841009111758,0.371,0.405,0.783,0.217
10,"[1, 0.67]",[0.33],0.01,0.5,Moderate,291,1080,188,330,750,103,0.67024627720504,0.287,0.465,0.684,0.316
10,[1],[0.33],0.01,0.5,Strict,125,1084,103,225,859,22,0.8082177121771217,0.422,0.455,0.796,0.204
10,[1],"[0.33, 0.67]",0.01,0.5,Strict,130,1241,104,267,974,26,0.7924254633360194,0.386,0.415,0.786,0.214
10,"[1, 0.67]",[0.33],0.01,0.5,Strict,291,1080,194,336,744,97,0.6777777777777778,0.299,0.473,0.684,0.316
10,[1],[0.33],0.01,0.5,Exhaustive,125,1084,109,224,860,16,0.8326789667896679,0.453,0.476,0.801,0.199
10,[1],"[0.33, 0.67]",0.01,0.5,Exhaustive,130,1241,103,278,963,27,0.7841473997396641,0.372,0.403,0.778,0.222
10,"[1, 0.67]",[0.33],0.01,0.5,Exhaustive,291,1080,192,311,769,99,0.6859154257350133,0.315,0.484,0.701,0.299
10,[1],[0.33],0.02,0.6,Moderate,117,1066,89,243,823,28,0.7663643944131748,0.354,0.396,0.771,0.229
10,[1],"[0.33, 0.67]",0.02,0.6,Moderate,113,1230,85,322,908,28,0.7452118857471761,0.296,0.327,0.739,0.261
10,"[1, 0.67]",[0.33],0.02,0.6,Moderate,295,1048,176,332,716,119,0.6399081381808772,0.239,0.438,0.664,0.336
10,[1],[0.33],0.02,0.6,Strict,117,1066,88,240,826,29,0.7634980195955805,0.351,0.396,0.773,0.227
10,[1],"[0.33, 0.67]",0.02,0.6,Strict,113,1230,86,310,920,27,0.7545147132887258,0.31,0.338,0.749,0.251
10,"[1, 0.67]",[0.33],0.02,0.6,Strict,295,1048,178,335,713,117,0.6418666709794282,0.242,0.441,0.663,0.337
10,[1],[0.33],0.02,0.6,Exhaustive,117,1066,87,248,818,30,0.7554721701063165,0.339,0.385,0.765,0.235
10,[1],"[0.33, 0.67]",0.02,0.6,Exhaustive,113,1230,86,304,926,27,0.7569537376789696,0.314,0.342,0.754,0.246
10,"[1, 0.67]",[0.33],0.02,0.6,Exhaustive,295,1048,176,337,711,119,0.6375226419976711,0.234,0.436,0.66,0.34
10,[1],[0.33],0.02,0.5,Moderate,108,1071,85,245,826,23,0.7791394335511983,0.359,0.388,0.773,0.227
10,[1],"[0.33, 0.67]",0.02,0.5,Moderate,132,1206,99,312,894,33,0.7456467661691544,0.318,0.365,0.742,0.258
10,"[1, 0.67]",[0.33],0.02,0.5,Moderate,292,1046,196,352,694,96,0.6673564001152467,0.281,0.467,0.665,0.335
10,[1],[0.33],0.02,0.5,Strict,108,1071,85,255,816,23,0.7744708994708995,0.35,0.379,0.764,0.236
10,[1],"[0.33, 0.67]",0.02,0.5,Strict,132,1206,100,336,870,32,0.739484396200814,0.305,0.352,0.725,0.275
10,"[1, 0.67]",[0.33],0.02,0.5,Strict,292,1046,207,355,691,85,0.6847579821367767,0.309,0.485,0.671,0.329
10,[1],[0.33],0.02,0.5,Exhaustive,108,1071,86,247,824,22,0.7828353563647681,0.362,0.39,0.772,0.228
10,[1],"[0.33, 0.67]",0.02,0.5,Exhaustive,132,1206,98,326,880,34,0.7360545756068144,0.303,0.353,0.731,0.269
10,"[1, 0.67]",[0.33],0.02,0.5,Exhaustive,292,1046,193,348,698,99,0.664131459702978,0.276,0.463,0.666,0.334
10,[1],[0.33],0.05,0.6,Moderate,84,309,59,85,224,25,0.7136500231160426,0.364,0.518,0.72,0.28
10,[1],"[0.33, 0.67]",0.05,0.6,Moderate,80,377,49,114,263,31,0.6550563660477454,0.246,0.403,0.683,0.317
10,"[1, 0.67]",[0.33],0.05,0.6,Moderate,154,303,92,98,205,62,0.636985127084137,0.263,0.535,0.65,0.35
10,[1],[0.33],0.05,0.6,Strict,84,309,60,99,210,24,0.6969486823855755,0.329,0.494,0.687,0.313
10,[1],"[0.33, 0.67]",0.05,0.6,Strict,80,377,54,120,257,26,0.6783488063660478,0.279,0.425,0.681,0.319
10,"[1, 0.67]",[0.33],0.05,0.6,Strict,154,303,97,104,199,57,0.6433179032188934,0.273,0.546,0.648,0.352
10,[1],[0.33],0.05,0.6,Exhaustive,84,309,62,74,235,22,0.7493065187239945,0.43,0.564,0.756,0.244
10,[1],"[0.33, 0.67]",0.05,0.6,Exhaustive,80,377,48,117,260,32,0.6448275862068966,0.229,0.392,0.674,0.326
10,"[1, 0.67]",[0.33],0.05,0.6,Exhaustive,154,303,91,95,208,63,0.6386888688868886,0.267,0.535,0.654,0.346
10,[1],[0.33],0.05,0.5,Moderate,86,304,58,91,213,28,0.6875382496940023,0.32,0.494,0.695,0.305
10,[1],"[0.33, 0.67]",0.05,0.5,Moderate,77,376,50,89,287,27,0.7063242608455375,0.336,0.463,0.744,0.256
10,"[1, 0.67]",[0.33],0.05,0.5,Moderate,152,301,96,83,218,56,0.6779157195313866,0.344,0.58,0.693,0.307
10,[1],[0.33],0.05,0.5,Strict,86,304,57,89,215,29,0.6850137698898409,0.317,0.491,0.697,0.303
10,[1],"[0.33, 0.67]",0.05,0.5,Strict,77,376,52,113,263,25,0.6873963802155292,0.293,0.43,0.695,0.305
10,"[1, 0.67]",[0.33],0.05,0.5,Strict,152,301,94,106,195,58,0.6331307920965203,0.253,0.534,0.638,0.362
10,[1],[0.33],0.05,0.5,Exhaustive,86,304,59,95,209,27,0.6867732558139534,0.317,0.492,0.687,0.313
10,[1],"[0.33, 0.67]",0.05,0.5,Exhaustive,77,376,44,91,285,33,0.6647036474164134,0.271,0.415,0.726,0.274
10,"[1, 0.67]",[0.33],0.05,0.5,Exhaustive,152,301,99,93,208,53,0.671172844902955,0.327,0.576,0.678,0.322
10,[1],[0.33],0.1,0.6,Moderate,39,74,27,24,50,12,0.683991683991684,0.352,0.6,0.681,0.319
10,[1],"[0.33, 0.67]",0.1,0.6,Moderate,40,93,28,33,60,12,0.6725806451612902,0.318,0.554,0.662,0.338
10,"[1, 0.67]",[0.33],0.1,0.6,Moderate,58,75,40,31,44,18,0.6381609195402299,0.275,0.62,0.632,0.368
10,[1],[0.33],0.1,0.6,Strict,39,74,24,28,46,15,0.6185031185031185,0.226,0.527,0.619,0.381
10,[1],"[0.33, 0.67]",0.1,0.6,Strict,40,93,27,32,61,13,0.6654569892473119,0.305,0.545,0.662,0.338
10,"[1, 0.67]",[0.33],0.1,0.6,Strict,58,75,39,38,37,19,0.5828735632183908,0.166,0.578,0.571,0.429
10,[1],[0.33],0.1,0.6,Exhaustive,39,74,27,21,53,12,0.7042619542619541,0.393,0.621,0.708,0.292
10,[1],"[0.33, 0.67]",0.1,0.6,Exhaustive,40,93,27,33,60,13,0.6600806451612903,0.295,0.54,0.654,0.346
10,"[1, 0.67]",[0.33],0.1,0.6,Exhaustive,58,75,38,37,38,20,0.580919540229885,0.162,0.571,0.571,0.429
10,[1],[0.33],0.1,0.5,Moderate,36,74,23,21,53,13,0.6775525525525525,0.34,0.575,0.691,0.309
10,[1],"[0.33, 0.67]",0.1,0.5,Moderate,35,94,27,34,60,8,0.7048632218844986,0.365,0.562,0.674,0.326
10,"[1, 0.67]",[0.33],0.1,0.5,Moderate,52,77,34,30,47,18,0.6321178821178821,0.259,0.586,0.628,0.372
10,[1],[0.33],0.1,0.5,Strict,36,74,20,25,49,16,0.6088588588588588,0.208,0.494,0.627,0.373
10,[1],"[0.33, 0.67]",0.1,0.5,Strict,35,94,25,36,58,10,0.6656534954407295,0.295,0.521,0.643,0.357
10,"[1, 0.67]",[0.33],0.1,0.5,Strict,52,77,29,36,41,23,0.5450799200799201,0.088,0.496,0.543,0.457
10,[1],[0.33],0.1,0.5,Exhaustive,36,74,25,22,52,11,0.6985735735735734,0.377,0.602,0.7,0.3
10,[1],"[0.33, 0.67]",0.1,0.5,Exhaustive,35,94,25,35,59,10,0.6709726443768997,0.305,0.526,0.651,0.349
10,"[1, 0.67]",[0.33],0.1,0.5,Exhaustive,52,77,27,28,49,25,0.5777972027972028,0.154,0.505,0.589,0.411
20,[1],[0.33],0.01,0.6,Moderate,135,1077,113,245,832,22,0.8047766429382028,0.42,0.458,0.78,0.22
20,[1],"[0.33, 0.67]",0.01,0.6,Moderate,136,1239,105,256,983,31,0.7827202915064332,0.384,0.423,0.791,0.209
20,"[1, 0.67]",[0.33],0.01,0.6,Moderate,303,1072,196,282,790,107,0.6919024924880547,0.334,0.502,0.717,0.283
20,[1],[0.33],0.01,0.6,Strict,135,1077,116,255,822,19,0.8112452285154235,0.425,0.458,0.774,0.226
