Seed,True_Var_Def,False_Var_Def,VAF_Upper_Limit,Feature_Category,Num_True_Var_Testing,Num_False_Var_Testing,TP,FP,TN,FN,AUC,MCC,F1_score,Accuracy,MSE
10,[1],[0.33],0.6,Moderate,163,1055,125,210,845,38,0.783909516471375,0.433,0.502,0.796,0.204
10,[1],"[0.33, 0.67]",0.6,Moderate,138,1245,106,241,1004,32,0.7872708224201151,0.397,0.437,0.803,0.197
10,"[1, 0.67]",[0.33],0.6,Moderate,301,1082,193,279,803,108,0.6916700953691023,0.334,0.499,0.72,0.28
10,[1],[0.33],0.6,Strict,163,1055,124,206,849,39,0.7827377664059547,0.433,0.503,0.799,0.201
10,[1],"[0.33, 0.67]",0.6,Strict,138,1245,102,236,1009,36,0.7747861009254409,0.383,0.429,0.803,0.197
10,"[1, 0.67]",[0.33],0.6,Strict,301,1082,202,286,796,99,0.703385511019952,0.351,0.512,0.722,0.278
10,[1],[0.33],0.6,Exhaustive,163,1055,121,212,843,42,0.7706917105224902,0.414,0.488,0.791,0.209
10,[1],"[0.33, 0.67]",0.6,Exhaustive,138,1245,106,236,1009,32,0.7892788545486292,0.402,0.442,0.806,0.194
10,"[1, 0.67]",[0.33],0.6,Exhaustive,301,1082,201,251,831,100,0.7178981337623818,0.383,0.534,0.746,0.254
10,[1],[0.33],0.5,Moderate,162,1053,120,209,844,42,0.7711301044634378,0.415,0.489,0.793,0.207
10,[1],"[0.33, 0.67]",0.5,Moderate,152,1227,119,263,964,33,0.7842754042808734,0.398,0.446,0.785,0.215
10,"[1, 0.67]",[0.33],0.5,Moderate,317,1062,219,297,765,98,0.7055953590333103,0.358,0.526,0.714,0.286
10,[1],[0.33],0.5,Strict,162,1053,113,201,852,49,0.75332383665717,0.393,0.475,0.794,0.206
10,[1],"[0.33, 0.67]",0.5,Strict,152,1227,115,276,951,37,0.7658200360313987,0.369,0.424,0.773,0.227
10,"[1, 0.67]",[0.33],0.5,Strict,317,1062,208,303,759,109,0.6854203425475414,0.323,0.502,0.701,0.299
10,[1],[0.33],0.5,Exhaustive,162,1053,113,193,860,49,0.7571225071225071,0.403,0.483,0.801,0.199
10,[1],"[0.33, 0.67]",0.5,Exhaustive,152,1227,116,268,959,36,0.7723694934156908,0.381,0.433,0.78,0.22
10,"[1, 0.67]",[0.33],0.5,Exhaustive,317,1062,214,293,769,103,0.6995921628734546,0.348,0.519,0.713,0.287
20,[1],[0.33],0.6,Moderate,134,1084,112,226,858,22,0.8136669053257697,0.438,0.475,0.796,0.204
20,[1],"[0.33, 0.67]",0.6,Moderate,151,1232,125,265,967,26,0.8063585834695106,0.425,0.462,0.79,0.21
20,"[1, 0.67]",[0.33],0.6,Moderate,310,1073,216,271,802,94,0.7221056429065328,0.388,0.542,0.736,0.264
20,[1],[0.33],0.6,Strict,134,1084,113,237,847,21,0.8123244478713443,0.432,0.467,0.788,0.212
20,[1],"[0.33, 0.67]",0.6,Strict,151,1232,120,261,971,31,0.7914256687021588,0.407,0.451,0.789,0.211
20,"[1, 0.67]",[0.33],0.6,Strict,310,1073,218,292,781,92,0.7155458016414634,0.373,0.532,0.722,0.278
20,[1],[0.33],0.6,Exhaustive,134,1084,114,213,871,20,0.8271259018560335,0.462,0.495,0.809,0.191
20,[1],"[0.33, 0.67]",0.6,Exhaustive,151,1232,119,263,969,32,0.7873027221123248,0.401,0.447,0.787,0.213
20,"[1, 0.67]",[0.33],0.6,Exhaustive,310,1073,216,278,795,94,0.7188437603343054,0.381,0.537,0.731,0.269
20,[1],[0.33],0.5,Moderate,142,1073,112,230,843,30,0.7871900555241983,0.41,0.463,0.786,0.214
20,[1],"[0.33, 0.67]",0.5,Moderate,129,1250,103,264,986,26,0.7936248062015504,0.387,0.415,0.79,0.21
20,"[1, 0.67]",[0.33],0.5,Moderate,284,1095,189,294,801,95,0.6984999035307737,0.337,0.493,0.718,0.282
20,[1],[0.33],0.5,Strict,142,1073,113,238,835,29,0.7869833164879304,0.407,0.458,0.78,0.22
20,[1],"[0.33, 0.67]",0.5,Strict,129,1250,99,268,982,30,0.7765209302325581,0.364,0.399,0.784,0.216
20,"[1, 0.67]",[0.33],0.5,Strict,284,1095,190,305,790,94,0.6952376358608272,0.329,0.488,0.711,0.289
20,[1],[0.33],0.5,Exhaustive,142,1073,111,230,843,31,0.783668928763635,0.406,0.46,0.785,0.215
20,[1],"[0.33, 0.67]",0.5,Exhaustive,129,1250,101,258,992,28,0.7882728682170542,0.383,0.414,0.793,0.207
20,"[1, 0.67]",[0.33],0.5,Exhaustive,284,1095,185,288,807,99,0.6941973760370442,0.331,0.489,0.719,0.281
3247,[1],[0.33],0.6,Moderate,139,1079,120,220,859,19,0.829708429734433,0.467,0.501,0.804,0.196
3247,[1],"[0.33, 0.67]",0.6,Moderate,154,1229,118,268,961,36,0.7740851500005284,0.384,0.437,0.78,0.22
3247,"[1, 0.67]",[0.33],0.6,Moderate,321,1062,215,304,758,106,0.691764788707605,0.334,0.512,0.704,0.296
3247,[1],[0.33],0.6,Strict,139,1079,114,221,858,25,0.8076623038918264,0.438,0.481,0.798,0.202
3247,[1],"[0.33, 0.67]",0.6,Strict,154,1229,120,267,962,34,0.7809854913190959,0.394,0.444,0.782,0.218
3247,"[1, 0.67]",[0.33],0.6,Strict,321,1062,217,303,759,104,0.6953508632979566,0.341,0.516,0.706,0.294
3247,[1],[0.33],0.6,Exhaustive,139,1079,117,229,850,22,0.8147465345610444,0.444,0.482,0.794,0.206
3247,[1],"[0.33, 0.67]",0.6,Exhaustive,154,1229,121,277,952,33,0.7801638963152389,0.389,0.438,0.776,0.224
3247,"[1, 0.67]",[0.33],0.6,Exhaustive,321,1062,218,303,759,103,0.6969084956967105,0.343,0.518,0.706,0.294
3247,[1],[0.33],0.5,Moderate,137,1078,108,200,878,29,0.8013962054629417,0.438,0.485,0.812,0.188
3247,[1],"[0.33, 0.67]",0.5,Moderate,145,1234,118,286,948,27,0.7910132454032303,0.392,0.43,0.773,0.227
3247,"[1, 0.67]",[0.33],0.5,Moderate,304,1075,218,323,752,86,0.7083200734394125,0.354,0.516,0.703,0.297
3247,[1],[0.33],0.5,Strict,137,1078,105,202,876,32,0.7895196565686659,0.421,0.473,0.807,0.193
3247,[1],"[0.33, 0.67]",0.5,Strict,145,1234,116,293,941,29,0.7812803889789304,0.378,0.419,0.766,0.234
3247,"[1, 0.67]",[0.33],0.5,Strict,304,1075,208,330,745,96,0.6886168910648716,0.321,0.494,0.691,0.309
3247,[1],[0.33],0.5,Exhaustive,137,1078,109,201,877,28,0.8045820186070447,0.442,0.488,0.812,0.188
3247,[1],"[0.33, 0.67]",0.5,Exhaustive,145,1234,115,285,949,30,0.7810736042027608,0.38,0.422,0.772,0.228
3247,"[1, 0.67]",[0.33],0.5,Exhaustive,304,1075,213,310,765,91,0.7061429008567932,0.352,0.515,0.709,0.291
24,[1],[0.33],0.6,Moderate,139,1079,103,181,898,36,0.786629639754369,0.431,0.487,0.822,0.178
24,[1],"[0.33, 0.67]",0.6,Moderate,150,1233,124,288,945,26,0.7965450121654502,0.403,0.441,0.773,0.227
24,"[1, 0.67]",[0.33],0.6,Moderate,312,1071,202,322,749,110,0.6733911513323277,0.299,0.483,0.688,0.312
24,[1],[0.33],0.6,Strict,139,1079,105,188,891,34,0.7905801401510858,0.432,0.486,0.818,0.182
24,[1],"[0.33, 0.67]",0.6,Strict,150,1233,123,288,945,27,0.7932116788321169,0.399,0.439,0.772,0.228
24,"[1, 0.67]",[0.33],0.6,Strict,312,1071,209,304,767,103,0.6930124613948142,0.334,0.507,0.706,0.294
24,[1],[0.33],0.6,Exhaustive,139,1079,102,182,897,37,0.7825691254225535,0.425,0.482,0.82,0.18
24,[1],"[0.33, 0.67]",0.6,Exhaustive,150,1233,123,302,931,27,0.7875344687753447,0.388,0.428,0.762,0.238
24,"[1, 0.67]",[0.33],0.6,Exhaustive,312,1071,201,313,758,111,0.6759902679020325,0.304,0.487,0.693,0.307
24,[1],[0.33],0.5,Moderate,128,1087,98,213,874,30,0.7848364190432382,0.401,0.446,0.8,0.2
24,[1],"[0.33, 0.67]",0.5,Moderate,140,1239,104,260,979,36,0.7665052461662631,0.365,0.413,0.785,0.215
24,"[1, 0.67]",[0.33],0.5,Moderate,292,1087,184,309,778,108,0.6729341785232701,0.295,0.469,0.698,0.302
24,[1],[0.33],0.5,Strict,128,1087,96,217,870,32,0.7751839926402943,0.386,0.435,0.795,0.205
24,[1],"[0.33, 0.67]",0.5,Strict,140,1239,101,266,973,39,0.7533696529459242,0.346,0.398,0.779,0.221
